섹션	문항번호	문항	응답유형	필수여부	선택지	비고
연구 참여 안내		운전 상황에서의 감정 및 행동 변화 조사 연구 참여 안내	안내문	해당 없음		최근 6개월 운전 경험 기준, 예상 소요 시간: 약 7~10분, 커피쿠폰 추첨 제공
1. 운전 경험 및 기본 정보	1-1	귀하의 성별은 무엇입니까?	객관식	필수	남성 | 여성	예상 시간: 2분
1. 운전 경험 및 기본 정보	1-2	귀하의 연령대는 어떻게 되십니까?	객관식	필수	20대 이하 | 30대 | 40대 | 50대 | 60대 이상	
1. 운전 경험 및 기본 정보	1-3	운전 경력은 얼마나 되십니까?	객관식	필수	1년 미만 | 1~3년 | 3~5년 | 5~10년 | 10년 이상	
1. 운전 경험 및 기본 정보	1-4	평소 운전 빈도는 어느 정도입니까?	객관식	필수	월 1회 미만 | 월 1~3회 | 주 1~2회 | 주 3~5회 | 거의 매일	
1. 운전 경험 및 기본 정보	1-5	평소 운전하는 주요 목적은 무엇입니까?	객관식	필수	출퇴근 | 학교/학업 | 여가 및 여행 | 가족 및 지인 이동 | 기타	기타 직접 입력
1. 운전 경험 및 기본 정보	1-6	평소 운전할 때 동승자가 함께 있는 경우가 얼마나 자주 있습니까?	객관식	필수	거의 없다 | 가끔 있다 | 절반 정도이다 | 자주 있다 | 거의 항상 있다	
2. 운전 상황에서 발생하는 감정 반응	2-1	다른 차량이 갑자기 앞으로 끼어들 때 화, 짜증 또는 불쾌감을 느낀다.	5점 객관식	필수	전혀 느끼지 않는다 | 약하게 느낀다 | 보통 정도로 느낀다 | 강하게 느낀다 | 매우 강하게 느낀다	예상 시간: 5분
2. 운전 상황에서 발생하는 감정 반응	2-2	앞 차량이 지나치게 느리게 운전할 때 화, 짜증 또는 불쾌감을 느낀다.	5점 객관식	필수	전혀 느끼지 않는다 | 약하게 느낀다 | 보통 정도로 느낀다 | 강하게 느낀다 | 매우 강하게 느낀다	
2. 운전 상황에서 발생하는 감정 반응	2-3	뒤 차량이 너무 가까이 따라올 때 화, 짜증 또는 불쾌감을 느낀다.	5점 객관식	필수	전혀 느끼지 않는다 | 약하게 느낀다 | 보통 정도로 느낀다 | 강하게 느낀다 | 매우 강하게 느낀다	
2. 운전 상황에서 발생하는 감정 반응	2-4	다른 운전자가 교통 규칙을 지키지 않을 때 화, 짜증 또는 불쾌감을 느낀다.	5점 객관식	필수	전혀 느끼지 않는다 | 약하게 느낀다 | 보통 정도로 느낀다 | 강하게 느낀다 | 매우 강하게 느낀다	
2. 운전 상황에서 발생하는 감정 반응	2-5	다른 운전자가 나를 향해 경적, 상향등, 손짓 등으로 불만을 표현할 때 화, 짜증 또는 불쾌감을 느낀다.	5점 객관식	필수	전혀 느끼지 않는다 | 약하게 느낀다 | 보통 정도로 느낀다 | 강하게 느낀다 | 매우 강하게 느낀다	
2. 운전 상황에서 발생하는 감정 반응	2-6	교통 체증으로 이동 시간이 길어질 때 화, 짜증 또는 불쾌감을 느낀다.	5점 객관식	필수	전혀 느끼지 않는다 | 약하게 느낀다 | 보통 정도로 느낀다 | 강하게 느낀다 | 매우 강하게 느낀다	
3. 운전 중 감정 표현 및 행동 특성	3-1	운전 중 불쾌한 상황에서 혼잣말을 하는 빈도	5점 객관식	필수	전혀 하지 않는다 | 거의 하지 않는다 | 가끔 한다 | 자주 한다 | 매우 자주 한다	예상 시간: 5분
3. 운전 중 감정 표현 및 행동 특성	3-2	운전 중 욕설을 하는 빈도	5점 객관식	필수	전혀 하지 않는다 | 거의 하지 않는다 | 가끔 한다 | 자주 한다 | 매우 자주 한다	
3. 운전 중 감정 표현 및 행동 특성	3-3	화가 나는 상황에서 경적을 사용하는 빈도	5점 객관식	필수	전혀 하지 않는다 | 거의 하지 않는다 | 가끔 한다 | 자주 한다 | 매우 자주 한다	
3. 운전 중 감정 표현 및 행동 특성	3-4	다른 운전자에게 불만을 표현하는 행동을 하는 빈도	5점 객관식	필수	전혀 하지 않는다 | 거의 하지 않는다 | 가끔 한다 | 자주 한다 | 매우 자주 한다	손짓, 상향등, 추월 등
3. 운전 중 감정 표현 및 행동 특성	3-5	운전 중 감정적으로 인해 평소보다 공격적으로 운전한 적이 있다.	5점 객관식	필수	전혀 없다 | 거의 없다 | 가끔 있다 | 자주 있다 | 매우 자주 있다	
4. 동승자 존재에 따른 변화	4-1	다른 사람이 함께 탑승하면 운전 행동이 달라진다고 느낀다.	5점 객관식	필수	전혀 그렇지 않다 | 그렇지 않다 | 어느 쪽도 아니다 | 그렇다 | 매우 그렇다	예상 시간: 5분
4. 동승자 존재에 따른 변화	4-2	동승자가 있을 때 감정 표현을 조절하게 된다.	5점 객관식	필수	전혀 그렇지 않다 | 그렇지 않다 | 어느 쪽도 아니다 | 그렇다 | 매우 그렇다	
